Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
42.2455,2.69616071352168e-05,8.97830230407602e-05
42.246,2.69097777995626e-05,8.96481767859113e-05
42.2465,2.68576602327803e-05,8.95147059477274e-05
42.247,2.68052653961124e-05,8.93826479232585e-05
42.2475,2.67526042878228e-05,8.92520399985764e-05
42.248,2.66996879402653e-05,8.91229193356377e-05
42.2485,2.66465274169353e-05,8.89953229590248e-05
42.249,2.65931338095066e-05,8.88692877425723e-05
42.2495,2.65395182348548e-05,8.87448503958895e-05
42.25,2.64856918320686e-05,8.86220474507855e-05
42.2505,2.64316657594499e-05,8.8500915247607e-05
42.251,2.6377451191504e-05,8.83814899214964e-05
42.2515,2.63230593159223e-05,8.82638073885784e-05
42.252,2.62685013305578e-05,8.81479033320845e-05
42.2525,2.62137884403947e-05,8.80338131884226e-05
42.253,2.61589318545145e-05,8.79215721332014e-05
42.2535,2.61039427830593e-05,8.78112150672189e-05
42.254,2.60488324341941e-05,8.77027766024228e-05
42.2545,2.59936120110695e-05,8.7596291047854e-05
42.255,2.59382927087859e-05,8.74917923955816e-05
42.2555,2.58828857113622e-05,8.73893143066404e-05
42.256,2.58274021887083e-05,8.72888900969807e-05
42.2565,2.57718532936049e-05,8.7190552723442e-05
42.257,2.57162501586913e-05,8.70943347697599e-05
42.2575,2.56606038934617e-05,8.70002684326192e-05
42.258,2.56049255812731e-05,8.69083855077615e-05
42.2585,2.55492262763646e-05,8.68187173761606e-05
42.259,2.54935170008894e-05,8.67312949902738e-05
42.2595,2.54378087419613e-05,8.66461488603819e-05
42.26,2.53821124487165e-05,8.65633090410256e-05
42.2605,2.53264390293908e-05,8.64828051175498e-05
42.261,2.52707993484154e-05,8.64046661927648e-05
42.2615,2.52152042235303e-05,8.63289208737331e-05
42.262,2.51596644229178e-05,8.62555972586932e-05
42.2625,2.51041906623567e-05,8.61847229241277e-05
42.263,2.50487936023983e-05,8.61163249119852e-05
42.2635,2.49934838455662e-05,8.60504297170668e-05
42.264,2.493827193358e-05,8.59870632745836e-05
42.2645,2.48831683446044e-05,8.59262509478964e-05
42.265,2.48281834905249e-05,8.58680175164444e-05
42.2655,2.47733277142516e-05,8.58123871638731e-05
42.266,2.47186112870513e-05,8.57593834663684e-05
42.2665,2.46640444059087e-05,8.57090293812051e-05
42.267,2.46096371909198e-05,8.56613472355195e-05
42.2675,2.4555399682715e-05,8.56163587153103e-05
42.268,2.45013418399157e-05,8.5574084854679e-05
42.2685,2.44474735366238e-05,8.55345460253139e-05
42.269,2.43938045599454e-05,8.54977619262262e-05
42.2695,2.43403446075486e-05,8.54637515737438e-05
42.27,2.42871032852571e-05,8.54325332917703e-05
42.2705,2.42340901046798e-05,8.54041247023144e-05
42.271,2.41813144808762e-05,8.53785427162959e-05
42.2715,2.41287857300598e-05,8.53558035246343e-05
42.272,2.40765130673383e-05,8.53359225896254e-05
42.2725,2.40245056044917e-05,8.53189146366105e-05
42.273,2.39727723477898e-05,8.53047936459449e-05
42.2735,2.39213221958471e-05,8.52935728452686e-05
42.274,2.38701639375182e-05,8.52852647020854e-05
42.2745,2.38193062498319e-05,8.52798809166534e-05
42.275,2.37687576959651e-05,8.52774324151927e-05
42.2755,2.37185267232573e-05,8.52779293434121e-05
42.276,2.36686216612642e-05,8.5281381060361e-05
42.2765,2.3619050719853e-05,8.52877961326078e-05
42.277,2.35698219873373e-05,8.52971823287495e-05
42.2775,2.35209434286538e-05,8.53095466142545e-05
42.278,2.34724228835793e-05,8.53248951466421e-05
42.2785,2.34242680649894e-05,8.53432332710011e-05
42.279,2.33764865571588e-05,8.53645655158494e-05
42.2795,2.33290858141017e-05,8.53888955893363e-05
42.28,2.32820731579552e-05,8.54162263757899e-05
42.2805,2.3235455777402e-05,8.54465599326106e-05
42.281,2.31892407261353e-05,8.54798974875117e-05
42.2815,2.31434349213639e-05,8.55162394361081e-05
42.282,2.30980451423577e-05,8.55555853398539e-05
42.2825,2.30530780290328e-05,8.55979339243296e-05
42.283,2.30085400805774e-05,8.56432830778789e-05
42.2835,2.29644376541154e-05,8.56916298505959e-05
42.284,2.29207769634106e-05,8.57429704536614e-05
42.2845,2.28775640776083e-05,8.57973002590295e-05
42.285,2.28348049200165e-05,8.58546137994633e-05
42.2855,2.27925052669239e-05,8.59149047689184e-05
42.286,2.27506707464576e-05,8.59781660232743e-05
42.2865,2.27093068374779e-05,8.60443895814111e-05
42.287,2.26684188685113e-05,8.6113566626632e-05
42.2875,2.26280120167223e-05,8.61856875084268e-05
42.288,2.25880913069234e-05,8.62607417445775e-05
42.2885,2.25486616106244e-05,8.63387180236012e-05
42.289,2.250972764512e-05,8.6419604207529e-05
42.2895,2.24712939726186e-05,8.65033873350167e-05
42.29,2.243336499941e-05,8.65900536247856e-05
42.2905,2.23959449750739e-05,8.66795884793891e-05
42.291,2.23590379917288e-05,8.67719764893014e-05
42.2915,2.23226479833225e-05,8.68672014373253e-05
42.292,2.22867787249634e-05,8.69652463033152e-05
42.2925,2.22514338322933e-05,8.70660932692103e-05
42.293,2.22166167609029e-05,8.7169723724375e-05
42.2935,2.21823308057894e-05,8.72761182712406e-05
42.294,2.21485791008571e-05,8.73852567312453e-05
42.2945,2.2115364618462e-05,8.74971181510665e-05
42.295,2.20826901690006e-05,8.76116808091399e-05
42.2955,2.20505584005435e-05,8.77289222224616e-05
42.296,2.20189717985147e-05,8.78488191536655e-05
42.2965,2.19879326854173e-05,8.7971347618371e-05
42.297,2.19574432206061e-05,8.80964828927955e-05
42.2975,2.19275054001082e-05,8.82241995216235e-05
42.298,2.18981210564911e-05,8.83544713261276e-05
42.2985,2.18692918587812e-05,8.84872714125328e-05
42.299,2.18410193124308e-05,8.86225721806188e-05
42.2995,2.18133047593367e-05,8.87603453325522e-05
42.3,2.17861493779088e-05,8.89005618819423e-05
42.3005,2.1759554183191e-05,8.90431921631136e-05
42.301,2.17335200270333e-05,8.91882058405875e-05
42.3015,2.17080475983178e-05,8.93355719187689e-05
42.302,2.1683137423236e-05,8.94852587518293e-05
42.3025,2.165878986562e-05,8.96372340537817e-05
42.303,2.16350051273277e-05,8.97914649087402e-05
42.3035,2.16117832486802e-05,8.99479177813598e-05
42.304,2.15891241089544e-05,9.01065585274482e-05
42.3045,2.15670274269285e-05,9.02673524047447e-05
42.305,2.15454927614816e-05,9.04302640838582e-05
42.3055,2.15245195122477e-05,9.05952576593587e-05
42.306,2.15041069203219e-05,9.07622966610138e-05
42.3065,2.14842540690219e-05,9.09313440651645e-05
42.307,2.14649598847013e-05,9.11023623062326e-05
42.3075,2.14462231376162e-05,9.12753132883532e-05
42.308,2.14280424428447e-05,9.14501583971259e-05
42.3085,2.14104162612573e-05,9.16268585114799e-05
42.309,2.139334290054e-05,9.18053740156462e-05
42.3095,2.1376820516268e-05,9.19856648112335e-05
42.31,2.13608471130295e-05,9.21676903294027e-05
42.3105,2.13454205456003e-05,9.23514095431364e-05
42.311,2.13305385201679e-05,9.25367809795997e-05
42.3115,2.13161985956049e-05,9.27237627325901e-05
42.312,2.13023981847904e-05,9.2912312475071e-05
42.3125,2.12891345559808e-05,9.31023874717883e-05
42.313,2.12764048342275e-05,9.32939445919646e-05
42.3135,2.12642060028421e-05,9.34869403220689e-05
42.314,2.12525349049083e-05,9.36813307786574e-05
42.3145,2.12413882448392e-05,9.38770717212824e-05
42.315,2.12307625899807e-05,9.4074118565464e-05
42.3155,2.12206543722584e-05,9.42724263957219e-05
42.316,2.12110598898691e-05,9.4471949978663e-05
