Time_s,BCL_Filtered,BCC_Filtered
8.2485,-5.72905768404687e-06,1.20846896237939e-05
8.249,-2.70663098331781e-06,1.39844395115096e-05
8.2495,-2.0853522487137e-07,1.63336449833051e-05
8.25,1.32258873880583e-06,2.14554325678819e-05
8.2505,1.82803726951106e-06,2.91437283551532e-05
8.251,1.68448989943593e-06,3.69680186891186e-05
8.2515,1.56617727057946e-06,4.26455574428458e-05
8.252,1.82729345055521e-06,4.53264629232735e-05
8.2525,1.97949278660728e-06,4.50736692791212e-05
8.253,1.34199032418771e-06,4.23778589481915e-05
8.2535,2.9618559068621e-07,3.83230127118016e-05
8.254,2.17648674508194e-07,3.42297774078756e-05
8.2545,2.03649398294216e-06,3.06985560864579e-05
8.255,5.47875669130259e-06,2.73382579498397e-05
8.2555,9.59460299780364e-06,2.3447417363713e-05
8.256,1.32669938966604e-05,1.87102730537425e-05
8.2565,1.5573357567685e-05,1.34680574345481e-05
8.257,1.66790085281251e-05,8.65577592962905e-06
8.2575,1.79180839284809e-05,5.18961334752834e-06
8.258,1.9835004185751e-05,2.97635329594192e-06
8.2585,2.08191113468352e-05,6.84790646941721e-07
8.259,1.91925059640517e-05,-3.0704355901618e-06
8.2595,1.60788193129815e-05,-8.21282742226755e-06
8.26,1.44466733849622e-05,-1.29814179738593e-05
8.2605,1.54701013131018e-05,-1.53309449497811e-05
8.261,1.73285839003639e-05,-1.47425277457999e-05
8.2615,1.75464027049979e-05,-1.2792458124446e-05
8.262,1.51899641786862e-05,-1.18519145384359e-05
8.2625,1.06807901329275e-05,-1.31387732655174e-05
8.263,4.77362775112116e-06,-1.60137000065623e-05
8.2635,-1.50421237155038e-06,-1.88630380745263e-05
8.264,-6.56014594584812e-06,-2.03099053267541e-05
8.2645,-9.04468951240233e-06,-1.9847906620695e-05
8.265,-9.25257623314053e-06,-1.7914314301909e-05
8.2655,-8.9749950472745e-06,-1.55138201047476e-05
8.266,-9.5091448177788e-06,-1.36446149855663e-05
8.2665,-1.03770877283853e-05,-1.30186090847147e-05
8.267,-1.03617296408624e-05,-1.40035574189462e-05
8.2675,-9.17760669491605e-06,-1.63792741148623e-05
8.268,-7.70465923954934e-06,-1.93069822710987e-05
8.2685,-7.05162970372206e-06,-2.20204265915706e-05
8.269,-7.68617334924402e-06,-2.44058443538983e-05
8.2695,-9.09572538924807e-06,-2.6509801302634e-05
8.27,-1.01104614260369e-05,-2.79364541055667e-05
8.2705,-9.89462606961326e-06,-2.85905212605776e-05
8.271,-8.81188161573034e-06,-2.97623892074024e-05
8.2715,-8.12262946920414e-06,-3.32710403344872e-05
8.272,-8.65210816001953e-06,-3.91849879314825e-05
8.2725,-9.86446135378342e-06,-4.51916370904458e-05
8.273,-1.05486067315977e-05,-4.83818171924369e-05
8.2735,-1.04693778032376e-05,-4.67884062774059e-05
8.274,-1.08442537529076e-05,-3.92511934857785e-05
8.2745,-1.27126320134554e-05,-2.54922424475405e-05
8.275,-1.51334091643446e-05,-7.44150946113113e-06
8.2755,-1.56816962215069e-05,1.06058742533961e-05
8.276,-1.28947503428395e-05,2.47573990336516e-05
8.2765,-7.89907521971786e-06,3.45134125050499e-05
8.277,-3.38121434692084e-06,4.23894147565667e-05
8.2775,-9.53065816212543e-07,5.09490480748946e-05
8.278,2.71038753052845e-07,6.07954162369463e-05
