Time_s,BCL_Envelope_Smoothed,BCC_Envelope_Smoothed
33.9715,9.57313529553353e-06,3.08359639592826e-05
33.972,9.5623432010634e-06,3.08527829309827e-05
33.9725,9.55147064819038e-06,3.0869416214083e-05
33.973,9.54051784834043e-06,3.08858608838292e-05
33.9735,9.52948502273137e-06,3.09021140302411e-05
33.974,9.51837240236076e-06,3.09181727586814e-05
33.9745,9.50718022799189e-06,3.09340341904181e-05
33.975,9.49590875013713e-06,3.09496954631831e-05
33.9755,9.48455822903949e-06,3.09651537317252e-05
33.976,9.47312893465166e-06,3.09804061683576e-05
33.9765,9.46162114661314e-06,3.09954499635005e-05
33.977,9.45003515422489e-06,3.10102823262177e-05
33.9775,9.43837125642225e-06,3.10249004847482e-05
33.978,9.42662976174532e-06,3.10393016870318e-05
33.9785,9.41481098830744e-06,3.10534832012292e-05
33.979,9.40291526376179e-06,3.10674423162358e-05
33.9795,9.39094292526534e-06,3.10811763421906e-05
33.98,9.37889431944148e-06,3.1094682610978e-05
33.9805,9.36676980234002e-06,3.11079584767248e-05
33.981,9.35456973939555e-06,3.11210013162896e-05
33.9815,9.34229450538374e-06,3.11338085297478e-05
33.982,9.32994448437561e-06,3.11463775408693e-05
33.9825,9.31752006969003e-06,3.11587057975904e-05
33.983,9.30502166384421e-06,3.1170790772479e-05
33.9835,9.29244967850235e-06,3.11826299631945e-05
33.984,9.27980453442243e-06,3.11942208929403e-05
33.9845,9.26708666140129e-06,3.12055611109105e-05
33.985,9.25429649821781e-06,3.12166481927304e-05
33.9855,9.24143449257432e-06,3.12274797408903e-05
33.986,9.22850110103648e-06,3.12380533851729e-05
33.9865,9.21549678897117e-06,3.12483667830747e-05
33.987,9.20242203048289e-06,3.12584176202208e-05
33.9875,9.18927730834857e-06,3.12682036107731e-05
33.988,9.17606311395054e-06,3.12777224978327e-05
33.9885,9.16277994720822e-06,3.12869720538352e-05
33.989,9.1494283165079e-06,3.12959500809409e-05
33.9895,9.13600873863134e-06,3.13046544114168e-05
33.99,9.12252173868256e-06,3.13130829080146e-05
33.9905,9.10896785001342e-06,3.13212334643404e-05
33.991,9.0953476141475e-06,3.13291040052199e-05
