Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
24.388,7.58882671722467e-06,3.49152736178015e-05
24.3885,7.59173058635187e-06,3.49639141544637e-05
24.389,7.5945317698887e-06,3.50122522170973e-05
24.3895,7.59723016136587e-06,3.50602808339117e-05
24.39,7.59982569498748e-06,3.51079929963605e-05
24.3905,7.60231834545989e-06,3.51553816602168e-05
24.391,7.60470812781011e-06,3.5202439746682e-05
24.3915,7.60699509719417e-06,3.52491601435285e-05
24.392,7.60917934869586e-06,3.52955357062765e-05
24.3925,7.61126101711615e-06,3.5341559259404e-05
24.393,7.61324027675371e-06,3.53872235975911e-05
24.3935,7.6151173411768e-06,3.54325214869981e-05
24.394,7.61689246298694e-06,3.54774456665775e-05
24.3945,7.61856593357464e-06,3.55219888494203e-05
24.395,7.62013808286753e-06,3.55661437241356e-05
24.3955,7.6216092790711e-06,3.56099029562658e-05
24.396,7.62297992840237e-06,3.56532591897347e-05
24.3965,7.62425047481674e-06,3.56962050483305e-05
24.397,7.62542139972824e-06,3.57387331372236e-05
24.3975,7.62649322172334e-06,3.57808360445168e-05
24.398,7.62746649626876e-06,3.58225063428311e-05
24.3985,7.62834181541327e-06,3.58637365909235e-05
24.399,7.62911980748397e-06,3.59045193353388e-05
24.3995,7.62980113677712e-06,3.59448471120929e-05
24.4,7.63038650324389e-06,3.59847124483892e-05
24.4005,7.63087664217119e-06,3.60241078643656e-05
24.401,7.63127232385774e-06,3.60630258748736e-05
24.4015,7.63157435328576e-06,3.6101458991287e-05
24.402,7.63178356978816e-06,3.61393997233418e-05
24.4025,7.63190084671166e-06,3.61768405810063e-05
24.403,7.63192709107576e-06,3.62137740763797e-05
24.4035,7.63186324322784e-06,3.62501927256218e-05
24.404,7.63171027649426e-06,3.62860890509105e-05
24.4045,7.63146919682782e-06,3.63214555824284e-05
24.405,7.6311410424514e-06,3.63562848603773e-05
24.4055,7.63072688349786e-06,3.639056943702e-05
24.406,7.63022782164638e-06,3.64243018787491e-05
24.4065,7.62964498975505e-06,3.64574747681814e-05
24.407,7.62897955148993e-06,3.64900807062767e-05
24.4075,7.62823270095051e-06,3.6522112314482e-05
24.408,7.62740566229165e-06,3.65535622368978e-05
24.4085,7.62649968934184e-06,3.65844231424669e-05
24.409,7.62551606521806e-06,3.66146877271852e-05
24.4095,7.62445610193688e-06,3.66443487163325e-05
24.41,7.62332114002194e-06,3.66733988667238e-05
24.4105,7.62211254810775e-06,3.67018309689796e-05
24.411,7.62083172253962e-06,3.67296378498145e-05
24.4115,7.61948008696983e-06,3.67568123743446e-05
24.412,7.61805909194992e-06,3.67833474484112e-05
24.4125,7.61657021451916e-06,3.6809236020923e-05
24.413,7.6150149577891e-06,3.68344710862125e-05
24.4135,7.61339485052439e-06,3.68590456864099e-05
24.414,7.61171144671984e-06,3.68829529138301e-05
24.4145,7.60996632517375e-06,3.69061859133744e-05
24.415,7.6081610890577e-06,3.69287378849448e-05
24.4155,7.60629736548276e-06,3.69506020858694e-05
24.416,7.60437680506222e-06,3.69717718333395e-05
24.4165,7.60240108147091e-06,3.69922405068562e-05
